village_code,village_name,sub_district_code,district_code,state_code
266430,Wakro Village,1730,259,12
266431,Gundri,1730,259,12
266432,Kanjang,1730,259,12
266433,New Phukari,1730,259,12
266434,Phukari(Old),1730,259,12
266435,Mawai - I,1730,259,12
266436,Mawai - II,1730,259,12
266437,Towam(Old),1730,259,12
266438,Towam(New),1730,259,12
266439,Chereng,1730,259,12
266440,Kalai,1730,259,12
266441,Tihun,1730,259,12
266442,Paleng,1730,259,12
266443,Mining Nagar,1730,259,12
266444,Kamja,1730,259,12
266445,Cibi,1730,259,12
266446,Karhe,1730,259,12
266447,New Tumba,1730,259,12
266448,Tumba,1730,259,12
266449,Kamban,1730,259,12
266450,Manthi,1730,259,12
266451,Tillai Camp,1730,259,12
266452,Tahar,1730,259,12
266453,Tillai,1730,259,12
266454,Thowang,1730,259,12
266455,Tillang Kyong,1730,259,12
266456,Teplang,1730,259,12
266457,Kathan,1730,259,12
266458,Tapun,1730,259,12
266459,Chikroglat,1730,259,12
266460,Kamlang Nagar,1730,259,12
266461,Manyuliang,1730,259,12
266462,Tarungalt,1730,259,12
266463,Chikrolang,1730,259,12
266464,Namgo,1730,259,12
266465,Samblu,1730,259,12
266466,Medo Camp,1730,259,12
266467,Medo Village,1730,259,12
266468,Topo,1730,259,12
266469,Huking,1730,259,12
266470,Tissue,1730,259,12
266471,Parsuram Kund,1730,259,12
266472,Ngatai,1730,259,12
266473,Kandey,1730,259,12
266474,Lamliang,1730,259,12
266475,Kathan(New),1730,259,12
266476,Wakro H.Q.,1730,259,12
266477,Hallao,1730,259,12
266478,Maruba,1730,259,12
266479,Babruliang,1730,259,12
266480,Waikhetliang,1730,259,12
266481,Medo Tea corporation,1730,259,12
266482,Longbin,1730,259,12
266483,Proshi,1730,259,12
266484,Manyu Tea Estate,1730,259,12
0,Chongkham,1731,259,12
266485,Morapat (Narapat),1731,259,12
266486,Mazgaon,1731,259,12
266487,Mabira,1731,259,12
266488,Momong,1731,259,12
266489,Nalong,1731,259,12
266490,Namliang,1731,259,12
266491,Napatia,1731,259,12
266492,Namliang Tea Garden Area,1731,259,12
266493,Alubari,1731,259,12
266494,Alubari Main Wood Area,1731,259,12
266495,Alubari Ghat,1731,259,12
266496,Guna Nagar - I,1731,259,12
266497,Guna Nagar - II(West),1731,259,12
266498,Kherem(upto 7 Kilo),1731,259,12
266499,Marua camp,1731,259,12
266500,Manmaw,1731,259,12
266501,Pankhao,1731,259,12
266502,Tissue,1731,259,12
266503,Empong (M'Pong),1731,259,12
266504,Mankao(Mankaw),1731,259,12
266505,Mimey,1731,259,12
266506,Paseng,1731,259,12
266507,Emphum,1731,259,12
266508,Munglang,1731,259,12
266509,Namgo,1731,259,12
266510,Embong,1731,259,12
266511,Lathoo,1731,259,12
266512,Insa,1731,259,12
266513,Injo,1731,259,12
266514,Tuling,1731,259,12
266515,Tingwa Camp,1731,259,12
266516,Chakma -I,1731,259,12
266517,Chakma -II,1731,259,12
266518,Chakma-III,1731,259,12
266519,Chongkham H.Q.,1731,259,12
266520,Chowkham(Manphaktan),1731,259,12
266521,Chowkham - I,1731,259,12
266522,Chowkham -II,1731,259,12
266523,Chowkham - III,1731,259,12
266524,Chowkham - IV,1731,259,12
266525,Chowkham/Tengapani Area(Mantow mill area),1731,259,12
266526,Namgo(Model village),1731,259,12
266527,Mankong Seng,1731,259,12
266528,Lonka Village,1731,259,12
0,Namsai,1732,259,12
266529,Samuguri,1732,259,12
266530,Jaipur,1732,259,12
266531,New Jengthu,1732,259,12
266532,Dhonekhona,1732,259,12
266533,Bhogamur,1732,259,12
266534,Mengkenmiri,1732,259,12
266535,Kaba Village,1732,259,12
266536,Vijaypur,1732,259,12
266537,Deobeel,1732,259,12
266538,Poruajan,1732,259,12
266539,2nd Mile,1732,259,12
266540,Kungseng,1732,259,12
266541,Kungsung,1732,259,12
266542,Enten,1732,259,12
266543,Enthem,1732,259,12
266544,Pathargaon,1732,259,12
266545,Manna-II,1732,259,12
266546,6th Mile Camp,1732,259,12
266547,Kaisu,1732,259,12
266548,Manhofai(Manhofai),1732,259,12
266549,Nanam Shyam,1732,259,12
266550,Nanam Khimiyang-I,1732,259,12
266551,Nanam Khimiyang-II,1732,259,12
266552,Manfaiseng,1732,259,12
266553,Sengsap,1732,259,12
266554,Nanam Khamti,1732,259,12
266555,Kungyao,1732,259,12
266556,Manmow,1732,259,12
266557,Melangkung,1732,259,12
266558,Kaisu L/Camp,1732,259,12
266559,Jengthu Camp,1732,259,12
266560,Kasik,1732,259,12
266561,Kosamfi,1732,259,12
0,Lathao,1733,259,12
266562,Sulungtoo,1733,259,12
266563,Lathao,1733,259,12
266564,Sapey kung estate,1733,259,12
266565,Mokokham,1733,259,12
266566,Kunginju Tea Estate ( -),1733,259,12
266567,Khahi Nallah,1733,259,12
266568,Modhuban,1733,259,12
266569,Tenga Pani,1733,259,12
266570,Jona - I,1733,259,12
266571,Jona - II,1733,259,12
266572,Jona - III,1733,259,12
266573,Jona - IV,1733,259,12
266574,Dadum Jona(Denam Jona),1733,259,12
266575,New Jaipur,1733,259,12
266576,Jona Kachari Kuli,1733,259,12
266577,Nongsahya C.P. camp,1733,259,12
266578,Tenga Pani Mukh,1733,259,12
266579,Munglang,1733,259,12
266580,Jengthu Camp/Kinghom Jona,1733,259,12
0,Piyong,1734,259,12
266581,Piyong Village,1734,259,12
266582,Piyong Singphoo,1734,259,12
266583,Piyong Khampti,1734,259,12
266584,Piyong Kachari Vill.,1734,259,12
266585,Nampong Village,1734,259,12
266586,Ningroo Charali Vill.,1734,259,12
266587,Adi Ningroo,1734,259,12
266588,Pangen,1734,259,12
266589,Mengkeng Khamti,1734,259,12
266590,Lekang Khamti,1734,259,12
266591,Phaneng,1734,259,12
266592,Jenglai,1734,259,12
266593,Wengko,1734,259,12
266594,Chesing Wingko,1734,259,12
266595,New Chesing Winko,1734,259,12
266596,Mathingkung,1734,259,12
266597,Mukron,1734,259,12
266598,Wagen pathar No.I,1734,259,12
266599,Wagon Pather III (Ningnan ),1734,259,12
266600,Wagon Pathar IV (Maanbasti ),1734,259,12
266601,Wagen Pathar No.II,1734,259,12
266602,Wingseng Nongtaw,1734,259,12
266603,Wingseng Nonwtaw II,1734,259,12
266604,Wingkham Nongtaw,1734,259,12
266605,Nongtaw Shyam,1734,259,12
266606,Khasangkung,1734,259,12
266607,Nongtaw Khamti,1734,259,12
0,Lekang (Mahadevpur),1735,259,12
266608,Lekang Gohain Gaon,1735,259,12
266609,Rangali Beel,1735,259,12
266610,Dirak Miri,1735,259,12
266611,Raja Beel,1735,259,12
266612,Dharampur,1735,259,12
266613,Kharira Chuk,1735,259,12
266614,Krishnapursatghariya,1735,259,12
266615,Ekorani,1735,259,12
266616,Padumoni,1735,259,12
266617,Mohaloni,1735,259,12
266618,Krishnapur,1735,259,12
266619,Waisali,1735,259,12
266620,Kathalguri,1735,259,12
266621,Hati Mara Beel,1735,259,12
266622,Sikari chuk,1735,259,12
266623,Boka Beel,1735,259,12
266624,Sitapani Moran,1735,259,12
266625,Eraloni,1735,259,12
266626,Kaupatani,1735,259,12
266627,Sitpani Miri,1735,259,12
266628,Dumsi,1735,259,12
266629,Sanga Pathar,1735,259,12
266630,Nongkhon,1735,259,12
266631,Nongkhon II,1735,259,12
266632,Nongkhon Tinali,1735,259,12
266633,Nongkhon Satghoria,1735,259,12
266634,Silatoo (Silatoo Miri),1735,259,12
266635,Lower Silatoo Miri,1735,259,12
266636,New Silatoo,1735,259,12
266637,Silatoo Kachari,1735,259,12
266638,Silatoo Khamti,1735,259,12
266639,Nockte Chuk,1735,259,12
266640,Kakani,1735,259,12
266641,Philobari,1735,259,12
266642,Kumari Kachari,1735,259,12
266643,Kumari Khamti,1735,259,12
266644,Adivasi Chuk,1735,259,12
266645,Kumari Adivasi,1735,259,12
266646,Singi Beel,1735,259,12
266647,Khowji,1735,259,12
266648,New Mohong,1735,259,12
266649,Miri Pathar,1735,259,12
266650,Mohong Deori,1735,259,12
266651,Old Mohong,1735,259,12
266652,Old Mohong I,1735,259,12
266653,Old Mohong II,1735,259,12
266654,Old Mohong III,1735,259,12
266655,Mohong Old(Man Paleng),1735,259,12
266656,Lekang H.Q.,1735,259,12
266657,Mahadevpur - I,1735,259,12
266658,Mahadevpur- II,1735,259,12
266659,Mahadevpur- III,1735,259,12
266660,Mahadevpur-IV,1735,259,12
266661,Murthy Camp,1735,259,12
0,Anjaw,0,260,12
0,Hayuliang,1736,260,12
266662,Dingliang,1736,260,12
266663,Mologam,1736,260,12
266664,Takaliang,1736,260,12
266665,Chillang,1736,260,12
266666,Paya,1736,260,12
266667,Chirang,1736,260,12
266668,Mompani,1736,260,12
266669,Amliang,1736,260,12
266670,Chunga,1736,260,12
266671,Tafraliang,1736,260,12
266672,Khupa Township,1736,260,12
266673,Khupa village(khupaliang),1736,260,12
266674,Matiliang,1736,260,12
266675,Adomla,1736,260,12
266676,Manyugam,1736,260,12
266677,Chameliang,1736,260,12
266678,Pachailiang,1736,260,12
266679,Swami Camp,1736,260,12
266680,Hayugam,1736,260,12
266681,Champhai,1736,260,12
266682,Khugam,1736,260,12
266683,Tuboka,1736,260,12
266684,Barafu,1736,260,12
266685,Paluliang,1736,260,12
266686,Tikromla,1736,260,12
266687,Chamemla,1736,260,12
266688,Kalamdi,1736,260,12
266689,Kamba,1736,260,12
266690,Kongra(Metung),1736,260,12
266691,Tummla,1736,260,12
266692,Talang,1736,260,12
266693,Blom,1736,260,12
266694,Kasaigam,1736,260,12
266695,Chongaliang,1736,260,12
266696,Khrolang(Sagamla),1736,260,12
266697,Mele,1736,260,12
266698,Netong,1736,260,12
266699,Thamptong,1736,260,12
266700,Mahikong,1736,260,12
266701,Tawaikunung,1736,260,12
266702,Maha,1736,260,12
266703,Chingraliang,1736,260,12
266704,Kabragam,1736,260,12
266705,Huilam,1736,260,12
266706,Tadumla,1736,260,12
266707,Lamaliang,1736,260,12
266708,Rahagam,1736,260,12
266709,Kibom,1736,260,12
266710,Dalai Bridge Camp,1736,260,12
266711,Ampani Camp,1736,260,12
266712,Hayuliang,1736,260,12
266713,Chiphugam,1736,260,12
266714,Hoiliang,1736,260,12
266715,Machinla,1736,260,12
266716,Zapaliang,1736,260,12
266717,Naraliang,1736,260,12
266718,Karangliang,1736,260,12
266719,Chigri,1736,260,12
266720,Nenuliang,1736,260,12
266721,Matong,1736,260,12
266722,Klumliang,1736,260,12
266723,Supnung,1736,260,12
266724,Malemla,1736,260,12
266725,Air Field Ziro Point,1736,260,12
266726,Dav Bridge Point,1736,260,12
266727,Tololiang,1736,260,12
266728,Fango,1736,260,12
266729,Lakhaw,1736,260,12
0,Manchal,1737,260,12
266730,Yatong - I,1737,260,12
266731,Kanning,1737,260,12
266732,Suplang,1737,260,12
266733,Misitong,1737,260,12
266734,Plotong,1737,260,12
266735,Tehuliang,1737,260,12
266736,Cheretong,1737,260,12
266737,Yatong - II,1737,260,12
266738,Plongri,1737,260,12
266739,Plongnung,1737,260,12
266740,Holongong,1737,260,12
266741,Pangung,1737,260,12
266742,Palang,1737,260,12
266743,Gab,1737,260,12
266744,Long Jam,1737,260,12
266745,Chowailing,1737,260,12
266746,Eliang,1737,260,12
266747,Pirah,1737,260,12
266748,Dhanbari,1737,260,12
266749,Towa,1737,260,12
266750,Kundong,1737,260,12
266751,Khuiliang,1737,260,12
266752,Krosam,1737,260,12
266753,Chikruliang,1737,260,12
266754,Chiliang,1737,260,12
266755,Zong,1737,260,12
266756,Towan Gong,1737,260,12
266757,Qunboo,1737,260,12
266758,Chutong,1737,260,12
266759,Krobma,1737,260,12
266760,Ekailiang,1737,260,12
266761,Kambing,1737,260,12
266762,Manchal,1737,260,12
266763,Griliang,1737,260,12
266764,Katong,1737,260,12
266765,Griliang II,1737,260,12
